,종목명,현재가,전일대비,등락률
0,삼성전자,"100,500","상승 1,000",+1.01%
1,SK하이닉스,"558,000","상승 37,000",+7.10%
2,LG에너지솔루션,"514,000","상승 4,000",+0.78%
3,삼성바이오로직스,"1,221,000","하락 11,000",-0.89%
4,삼성전자우,"79,900","상승 2,200",+2.83%
5,두산에너빌리티,"96,400","상승 10,000",+11.57%
6,현대차,"258,000","상승 7,500",+2.99%
7,HD현대중공업,"595,000","상승 1,000",+0.17%
8,한화에어로스페이스,"993,000","하락 3,000",-0.30%
9,기아,"115,800","상승 2,200",+1.94%
10,KB금융,"116,000",하락 400,-0.34%
11,NAVER,"265,000","상승 12,000",+4.74%
12,셀트리온,"176,600","하락 2,700",-1.51%
13,한화오션,"131,900",상승 400,+0.30%
14,삼성물산,"231,000","상승 24,000",+11.59%
