,종목명,현재가,전일대비,등락률
0,아난티,"8,910","하락 -1,450",-14.00%
1,부산산업,"84,000","하락 -8,900",-9.58%
2,아이티켐,"29,650","하락 -2,500",-7.78%
3,에이유브랜즈,"16,030","하락 -1,170",-6.80%
4,현대엘리베이터,"81,300","하락 -5,600",-6.44%
5,스피어,"8,040",하락 -470,-5.52%
6,휴온스글로벌,"55,400","하락 -2,900",-4.97%
7,지아이이노베이션,"15,150",하락 -720,-4.54%
8,노머스,"29,550","하락 -1,400",-4.52%
9,HK이노엔,"49,000","하락 -2,300",-4.48%
10,한화솔루션,"30,900","하락 -1,450",-4.48%
11,GS피앤엘,"38,600","하락 -1,800",-4.46%
12,제이앤티씨,"26,050","하락 -1,100",-4.05%
13,에코프로,"93,300","하락 -3,900",-4.01%
14,와이지엔터테인먼트,"91,100","하락 -3,800",-4.00%
