,종목명,현재가,전일대비,등락률
0,KODEX 200선물인버스2X,723,하락 31,-4.11%
1,KODEX 인버스,"2,610",하락 60,-2.25%
2,우리기술,"4,980",상승 225,+4.73%
3,KODEX 2차전지산업레버리지,"2,100",상승 40,+1.94%
4,케이바이오,259,상승 22,+9.28%
5,KODEX 레버리지,"43,250","상승 1,735",+4.18%
6,대원전선,"3,525",상승 360,+11.37%
7,대한광통신,"1,946",상승 149,+8.29%
8,빛과전자,889,상승 205,+29.97%
9,경남제약,761,상승 175,+29.86%
10,쏠리드,"8,890","상승 1,610",+22.12%
11,삼성전자,"100,500","상승 1,000",+1.01%
12,코데즈컴바인,"2,955",하락 815,-21.62%
13,강원에너지,"16,350","상승 1,850",+12.76%
14,예선테크,693,상승 80,+13.05%
