,종목명,현재가,전일대비,등락률
0,삼성전자,"100,500","상승 1,000",+1.01%
1,SK하이닉스,"557,000","상승 36,000",+6.91%
2,LG에너지솔루션,"512,000","상승 2,000",+0.39%
3,삼성바이오로직스,"1,224,000","하락 8,000",-0.65%
4,두산에너빌리티,"96,400","상승 10,000",+11.57%
5,현대차,"258,000","상승 7,500",+2.99%
6,HD현대중공업,"594,000",보합,0.00%
7,한화에어로스페이스,"994,000","하락 2,000",-0.20%
8,기아,"115,600","상승 2,000",+1.76%
9,KB금융,"115,800",하락 600,-0.52%
10,NAVER,"265,000","상승 12,000",+4.74%
11,셀트리온,"176,700","하락 2,600",-1.45%
12,한화오션,"132,200",상승 700,+0.53%
13,삼성물산,"230,000","상승 23,000",+11.11%
14,SK스퀘어,"272,000",보합,0.00%
