,종목명,현재가,전일대비,등락률
0,쏠리드,"8,890","상승 1,610",+22.12%
1,두산에너빌리티,"96,400","상승 10,000",+11.57%
2,대한전선,"21,700","상승 1,730",+8.66%
3,삼성중공업,"30,000",상승 50,+0.17%
4,카카오,"67,900","상승 4,200",+6.59%
5,삼성전자,"100,500","상승 1,000",+1.01%
6,아난티,"8,910","하락 1,450",-14.00%
7,현대건설,"73,400","상승 4,500",+6.53%
8,한온시스템,"4,255",상승 270,+6.78%
9,한화오션,"132,200",상승 700,+0.53%
10,SK하이닉스,"557,000","상승 36,000",+6.91%
11,케이엠더블유,"17,310","상승 2,650",+18.08%
12,HD현대인프라코어,"17,400",상승 720,+4.32%
13,우리기술투자,"9,440",상승 310,+3.40%
14,후성,"9,830",하락 160,-1.60%
