,종목명,현재가,전일대비,등락률
0,빛과전자,889,상한가 205,+29.97%
1,삼익제약,"16,410","상한가 3,780",+29.93%
2,에이스테크,"2,845",상한가 655,+29.91%
3,경남제약,761,상한가 175,+29.86%
4,이노인스트루먼트,605,상한가 139,+29.83%
5,자람테크놀로지,"46,400","상승 9,700",+26.43%
6,RFHIC,"34,150","상승 6,200",+22.18%
7,쏠리드,"8,890","상승 1,610",+22.12%
8,이루온,"1,910",상승 321,+20.20%
9,지엔씨에너지,"43,950","상승 6,650",+17.83%
10,케이엠더블유,"17,210","상승 2,550",+17.39%
11,나노캠텍,"1,006",상승 146,+16.98%
12,한세엠케이,816,상승 118,+16.91%
13,마이크로투나노,"10,460","상승 1,420",+15.71%
14,유니테스트,"20,750","상승 2,450",+13.39%
