,종목명,현재가,전일대비,등락률
0,코데즈컴바인,"2,955",하락 -815,-21.62%
1,제이에스티나,"3,255",하락 -745,-18.62%
2,팬스타엔터프라이즈,798,하락 -153,-16.09%
3,좋은사람들,"1,872",하락 -358,-16.05%
4,아난티,"8,780","하락 -1,580",-15.25%
5,인디에프,"1,026",하락 -162,-13.64%
6,형지I&C,879,하락 -136,-13.40%
7,대아티아이,"4,420",하락 -620,-12.30%
8,큐라클,"5,540",하락 -760,-12.06%
9,한스바이오메드,"28,000","하락 -3,600",-11.39%
10,파라택시스코리아,"1,380",하락 -175,-11.25%
11,일신석재,"1,976",하락 -249,-11.19%
12,동국S&C,"2,200",하락 -270,-10.93%
13,신풍제약,"14,010","하락 -1,680",-10.71%
14,신원,"1,592",하락 -179,-10.11%
